Region,Subregion,UNODC Name,Source,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Asia,South-Eastern Asia,Singapore,UNSDC/NP/CTS, 0.9 , 0.7 , 0.5 , 0.6 , 0.5 , 0.5 , 0.4 , 0.4 , 0.6 , 0.4 , 0.4 , 0.3 , 0.2 , 0.3 , 0.3 , 0.3 , 0.3
Asia,South-Eastern Asia,Thailand,NP/CTS, 8.2 , 7.9 , 7.1 , 10.0 , 6.6 , 7.3 , 7.1 , 6.7 , 6.0 , 5.5 , 5.4 , 4.9 , 4.9 , 4.2 , 3.9 , 3.5 , 3.2
Asia,South-Eastern Asia,Timor-Leste,UNMIT/NSO,,,,, 2.3 , 4.5 , 4.7 , 5.8 , 3.2 , 2.9 , 3.5 ,,,,, 3.9 ,
Asia,South-Eastern Asia,Viet Nam,WHO,, 1.2 , 1.3 , 1.3 , 1.3 , 1.2 , 1.2 , 1.4 , 1.3 , 1.4 , 1.5 , 1.5 ,,,,,
Asia,Southern Asia,Afghanistan,NSO,,,,,,,,,, 4.0 , 3.4 , 4.1 , 6.3 ,,,,
Asia,Southern Asia,Bangladesh,NP, 2.5 , 2.7 , 2.6 , 2.5 , 2.8 , 2.5 , 2.9 , 2.6 , 2.8 , 2.8 , 2.6 , 2.6 , 2.6 , 2.8 , 2.8 , 2.5 ,
Asia,Southern Asia,Bhutan,NSO/CTS, 3.1 , 3.2 , 3.1 , 0.8 , 2.3 , 1.7 , 1.3 , 2.0 , 2.6 , 2.2 , 2.2 , 4.3 , 4.4 , 3.1 ,, 1.5 , 1.1
Asia,Southern Asia,India,MOI, 4.9 , 4.6 , 4.5 , 4.0 , 4.1 , 3.9 , 3.9 , 3.8 , 3.8 , 3.8 , 3.8 , 3.8 , 3.8 , 3.6 , 3.7 , 3.4 , 3.2
Asia,Southern Asia,Iran (Islamic Republic of),CTS/NSO/MD,,,, 2.6 , 2.9 ,,,,, 3.0 ,,,, 2.6 , 2.5 ,,
Asia,Southern Asia,Maldives,UNSDC/CTS,, 2.4 , 2.7 , 1.3 ,,,, 0.9 , 1.4 , 1.7 , 1.6 , 0.8 , 2.6 , 0.8 ,,,
Asia,Southern Asia,Nepal,NSO/CTS, 2.7 , 3.5 , 3.5 , 3.0 , 3.7 , 3.4 , 2.4 , 3.2 , 3.4 , 3.0 , 3.0 , 2.5 , 2.3 , 2.2 , 2.0 ,, 2.2
Asia,Southern Asia,Pakistan,NSO, 6.4 , 6.8 , 6.5 , 6.3 , 6.4 , 6.4 , 6.4 , 6.6 , 7.4 , 7.5 , 7.7 , 8.0 , 7.8 , 7.7 , 7.2 , 5.0 , 4.4
Asia,Southern Asia,Sri Lanka*,CTS/NP,,,, 6.8 , 7.1 , 6.2 , 10.4 ,, 10.0 , 5.5 , 3.8 , 3.6 , 3.3 , 3.0 , 2.7 , 2.4 , 2.5
Asia,Western Asia,Armenia,TSMNEE/CTS, 3.0 , 2.9 , 2.3 , 2.5 , 2.8 , 1.9 , 2.7 , 2.6 , 3.3 , 3.4 , 1.9 , 2.5 , 2.3 , 2.2 , 2.5 , 2.6 , 3.0
